Support Item Number,Support Item Name,Registration Group Number,Registration Group Name,Support Category Number,Support Category Name,Unit,Quote,Start date,End Date,ACT,NSW,NT,QLD,SA,TAS,VIC,WA,Remote,Very Remote,Non-Face-to-Face Support Provision,Provider Travel,Short Notice Cancellations.,NDIA Requested Reports,Irregular SIL Supports,Type
01_052_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Sunday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,$977.49,$977.49,$977.49,$977.49,$977.49,$977.49,$977.49,$977.49,"$1,368.49","$1,466.24",N,N,Y,N,N,Price Limited Supports
01_053_0115_1_1,STA And Assistance (Inc. Respite) - 1:4 - Public Holiday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,150.59","$1,150.59","$1,150.59","$1,150.59","$1,150.59","$1,150.59","$1,150.59","$1,150.59","$1,610.83","$1,725.89",N,N,Y,N,N,Price Limited Supports
01_054_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Weekday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,119.89","$1,119.89","$1,119.89","$1,119.89","$1,119.89","$1,119.89","$1,119.89","$1,119.89","$1,567.85","$1,679.84",N,N,Y,N,N,Price Limited Supports
01_055_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Saturday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,402.53","$1,402.53","$1,402.53","$1,402.53","$1,402.53","$1,402.53","$1,402.53","$1,402.53","$1,963.54","$2,103.80",N,N,Y,N,N,Price Limited Supports
01_056_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Sunday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,748.73","$1,748.73","$1,748.73","$1,748.73","$1,748.73","$1,748.73","$1,748.73","$1,748.73","$2,448.22","$2,623.10",N,N,Y,N,N,Price Limited Supports
01_057_0115_1_1,STA And Assistance (Inc. Respite) - 1:2 - Public Holiday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$2,094.93","$2,094.93","$2,094.93","$2,094.93","$2,094.93","$2,094.93","$2,094.93","$2,094.93","$2,932.90","$3,142.40",N,N,Y,N,N,Price Limited Supports
01_058_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Weekday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$2,033.53","$2,033.53","$2,033.53","$2,033.53","$2,033.53","$2,033.53","$2,033.53","$2,033.53","$2,846.94","$3,050.30",N,N,Y,N,N,Price Limited Supports
01_059_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Saturday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$2,598.81","$2,598.81","$2,598.81","$2,598.81","$2,598.81","$2,598.81","$2,598.81","$2,598.81","$3,638.33","$3,898.22",N,N,Y,N,N,Price Limited Supports
01_060_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Sunday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$3,291.21","$3,291.21","$3,291.21","$3,291.21","$3,291.21","$3,291.21","$3,291.21","$3,291.21","$4,607.69","$4,936.82",N,N,Y,N,N,Price Limited Supports
01_061_0115_1_1,STA And Assistance (Inc. Respite) - 1:1 - Public Holiday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$3,983.61","$3,983.61","$3,983.61","$3,983.61","$3,983.61","$3,983.61","$3,983.61","$3,983.61","$5,577.05","$5,975.42",N,N,Y,N,N,Price Limited Supports
01_062_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Weekday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,$815.34,$815.34,$815.34,$815.34,$815.34,$815.34,$815.34,$815.34,"$1,141.48","$1,223.01",N,N,Y,N,N,Price Limited Supports
01_063_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Saturday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,003.77","$1,003.77","$1,003.77","$1,003.77","$1,003.77","$1,003.77","$1,003.77","$1,003.77","$1,405.28","$1,505.66",N,N,Y,N,N,Price Limited Supports
01_064_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Sunday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,234.57","$1,234.57","$1,234.57","$1,234.57","$1,234.57","$1,234.57","$1,234.57","$1,234.57","$1,728.40","$1,851.86",N,N,Y,N,N,Price Limited Supports
01_065_0115_1_1,STA And Assistance (Inc. Respite) - 1:3 - Public Holiday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,"$1,465.37","$1,465.37","$1,465.37","$1,465.37","$1,465.37","$1,465.37","$1,465.37","$1,465.37","$2,051.52","$2,198.06",N,N,Y,N,N,Price Limited Supports
01_066_0115_1_1,Unplanned onsite shared supports in Specialist Disability Accommodation,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),WK,No,20230701,99991231,"$1,438.03","$1,438.03","$1,438.03","$1,438.03","$1,438.03","$1,438.03","$1,438.03","$1,438.03","$2,013.24","$2,157.04",N,N,N,N,N,Price Limited Supports
01_082_0115_1_1,Medium Term Accommodation,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),D,No,20230701,99991231,$146.75,$146.75,$146.75,$146.75,$146.75,$146.75,$146.75,$146.75,$205.45,$220.13,N,N,Y,N,N,Price Limited Supports
01_134_0117_8_1,Capacity Building and Training in Self-Management and Plan Management,0117,Development Of Daily Living And Life Skills,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$74.63,$74.63,$74.63,$74.63,$74.63,$74.63,$74.63,$74.63,$104.48,$111.95,Y,Y,Y,N,N,Price Limited Supports
01_200_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Daytime,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$65.47,$91.66,$98.21,N,N,Y,N,N,Price Limited Supports
01_201_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Evening,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$72.13,$100.98,$108.20,N,N,Y,N,N,Price Limited Supports
01_202_0115_1_1,Assistance With Self-Care Activities in a STA - Saturday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$92.12,$128.97,$138.18,N,N,Y,N,N,Price Limited Supports
01_203_0115_1_1,Assistance With Self-Care Activities in a STA - Sunday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$118.78,$166.29,$178.17,N,N,Y,N,N,Price Limited Supports
01_204_0115_1_1,Assistance With Self-Care Activities in a STA - Public Holiday,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$145.44,$203.62,$218.16,N,N,Y,N,N,Price Limited Supports
01_205_0115_1_1,Assistance With Self-Care Activities in a STA - Weekday Night,0115,Assistance With Daily Life Tasks In A Group Or Shared Living Arrangement,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$73.46,$73.46,$73.46,$73.46,$73.46,$73.46,$73.46,$73.46,$102.84,$110.19,N,N,Y,N,N,Price Limited Supports
01_400_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Daytime,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$70.85,$70.85,$70.85,$70.85,$70.85,$70.85,$70.85,$70.85,$99.19,$106.28,Y,Y,Y,N,N,Price Limited Supports
01_400_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Weekday Daytime - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$71.83,$71.83,$71.83,$71.83,$71.83,$71.83,$71.83,$71.83,$100.56,$107.75,Y,Y,Y,N,N,Price Limited Supports
01_401_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Evening,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$78.06,$78.06,$78.06,$78.06,$78.06,$78.06,$78.06,$78.06,$109.28,$117.09,Y,Y,Y,N,N,Price Limited Supports
01_401_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Weekday Evening - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$79.14,$79.14,$79.14,$79.14,$79.14,$79.14,$79.14,$79.14,$110.80,$118.71,Y,Y,Y,N,N,Price Limited Supports
01_402_0104_1_1,Assistance With Self-Care Activities - High Intensity - Saturday,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$99.69,$99.69,$99.69,$99.69,$99.69,$99.69,$99.69,$99.69,$139.57,$149.54,Y,Y,Y,N,N,Price Limited Supports
01_402_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Saturday - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$101.07,$101.07,$101.07,$101.07,$101.07,$101.07,$101.07,$101.07,$141.50,$151.61,Y,Y,Y,N,N,Price Limited Supports
01_403_0104_1_1,Assistance With Self-Care Activities - High Intensity - Sunday,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$128.54,$128.54,$128.54,$128.54,$128.54,$128.54,$128.54,$128.54,$179.96,$192.81,Y,Y,Y,N,N,Price Limited Supports
01_403_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Sunday - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$130.32,$130.32,$130.32,$130.32,$130.32,$130.32,$130.32,$130.32,$182.45,$195.48,Y,Y,Y,N,N,Price Limited Supports
01_404_0104_1_1,Assistance With Self-Care Activities - High Intensity - Public Holiday,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$157.39,$157.39,$157.39,$157.39,$157.39,$157.39,$157.39,$157.39,$220.35,$236.09,Y,Y,Y,N,N,Price Limited Supports
01_404_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Public Holiday - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$159.57,$159.57,$159.57,$159.57,$159.57,$159.57,$159.57,$159.57,$223.40,$239.36,Y,Y,Y,N,N,Price Limited Supports
01_405_0104_1_1,Assistance With Self-Care Activities - High Intensity - Weekday Night,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$79.50,$79.50,$79.50,$79.50,$79.50,$79.50,$79.50,$79.50,$111.30,$119.25,Y,Y,Y,N,N,Price Limited Supports
01_405_0104_1_1_T,Assistance With Self-Care Activities - High Intensity - Weekday Night - TTP,0104,High Intensity Daily Personal Activities,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$80.60,$80.60,$80.60,$80.60,$80.60,$80.60,$80.60,$80.60,$112.84,$120.90,Y,Y,Y,N,N,Price Limited Supports
01_600_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Daytime,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$93.06,$93.06,$93.06,$93.06,$93.06,$93.06,$93.06,$93.06,$130.28,$139.59,Y,Y,Y,Y,N,Price Limited Supports
01_601_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Evening,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$102.65,$102.65,$102.65,$102.65,$102.65,$102.65,$102.65,$102.65,$143.71,$153.98,Y,Y,Y,Y,N,Price Limited Supports
01_602_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Saturday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$132.75,$132.75,$132.75,$132.75,$132.75,$132.75,$132.75,$132.75,$185.85,$199.13,Y,Y,Y,Y,N,Price Limited Supports
01_603_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Sunday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$152.61,$152.61,$152.61,$152.61,$152.61,$152.61,$152.61,$152.61,$213.65,$228.92,Y,Y,Y,Y,N,Price Limited Supports
01_604_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Public Holiday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$172.44,$172.44,$172.44,$172.44,$172.44,$172.44,$172.44,$172.44,$241.42,$258.66,Y,Y,Y,Y,N,Price Limited Supports
01_605_0114_1_1,Delivery of Health Supports by an Enrolled Nurse - Weekday Night,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$104.56,$104.56,$104.56,$104.56,$104.56,$104.56,$104.56,$104.56,$146.38,$156.84,Y,Y,Y,Y,N,Price Limited Supports
01_606_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Daytime,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$115.21,$115.21,$115.21,$115.21,$115.21,$115.21,$115.21,$115.21,$161.29,$172.82,Y,Y,Y,Y,N,Price Limited Supports
01_607_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Evening,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$127.10,$127.10,$127.10,$127.10,$127.10,$127.10,$127.10,$127.10,$177.94,$190.65,Y,Y,Y,Y,N,Price Limited Supports
01_608_0114_1_1,Delivery of Health Supports by a Registered Nurse - Saturday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$164.42,$164.42,$164.42,$164.42,$164.42,$164.42,$164.42,$164.42,$230.19,$246.63,Y,Y,Y,Y,N,Price Limited Supports
01_609_0114_1_1,Delivery of Health Supports by a Registered Nurse - Sunday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$189.02,$189.02,$189.02,$189.02,$189.02,$189.02,$189.02,$189.02,$264.63,$283.53,Y,Y,Y,Y,N,Price Limited Supports
01_610_0114_1_1,Delivery of Health Supports by a Registered Nurse - Public Holiday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$213.62,$213.62,$213.62,$213.62,$213.62,$213.62,$213.62,$213.62,$299.07,$320.43,Y,Y,Y,Y,N,Price Limited Supports
01_611_0114_1_1,Delivery of Health Supports by a Registered Nurse - Weekday Night,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$129.46,$129.46,$129.46,$129.46,$129.46,$129.46,$129.46,$129.46,$181.24,$194.19,Y,Y,Y,Y,N,Price Limited Supports
01_612_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Daytime,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$133.27,$133.27,$133.27,$133.27,$133.27,$133.27,$133.27,$133.27,$186.58,$199.91,Y,Y,Y,Y,N,Price Limited Supports
01_613_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Evening,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$147.00,$147.00,$147.00,$147.00,$147.00,$147.00,$147.00,$147.00,$205.80,$220.50,Y,Y,Y,Y,N,Price Limited Supports
01_614_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Saturday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$190.18,$190.18,$190.18,$190.18,$190.18,$190.18,$190.18,$190.18,$266.25,$285.27,Y,Y,Y,Y,N,Price Limited Supports
01_615_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Sunday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$218.64,$218.64,$218.64,$218.64,$218.64,$218.64,$218.64,$218.64,$306.10,$327.96,Y,Y,Y,Y,N,Price Limited Supports
01_616_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Public Holiday,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$247.10,$247.10,$247.10,$247.10,$247.10,$247.10,$247.10,$247.10,$345.94,$370.65,Y,Y,Y,Y,N,Price Limited Supports
01_617_0114_1_1,Delivery of Health Supports by a Clinical Nurse - Weekday Night,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$149.76,$149.76,$149.76,$149.76,$149.76,$149.76,$149.76,$149.76,$209.66,$224.64,Y,Y,Y,Y,N,Price Limited Supports
01_618_0114_1_1,Delivery of Health Supports by a Clinical Nurse Consultant - Weekday Daytime,0114,Community Nursing Care,1,Assistance with Daily Life (Includes SIL),H,No,20230701,99991231,$157.61,$157.61,$157.61,$157.61,$157.61,$157.61,$157.61,$157.61,$220.65,$236.42,Y,Y,Y,Y,N,Price Limited Supports
